Feature name,Standard gene name,# of PTMs
YJL164C,TPK1,7.0
YJL155C,FBP26,7.0
YJL141C,YAK1,14.0
YJL103C,GSM1,2.0
YJL068C,-,1.0
YJL057C,IKS1,4.0
YJL048C,UBX6,3.0
YJL020C,BBC1,42.0
YJL016W,TPH3,14.0
YJR008W,MHO1,1.0
YJR025C,BNA1,3.0
YJR059W,PTK2,46.0
YJR066W,TOR1,3.0
YJR104C,SOD1,16.0
YKL193C,SDS22,1.0
YKL151C,NNR2,1.0
YKL150W,MCR1,1.0
YKL142W,MRP8,4.0
YKL124W,SSH4,16.0
YKL121W,DGR2,17.0
YKL103C,APE1,2.0
YKL100C,YPF1,1.0
YKL093W,MBR1,16.0
YKL091C,-,2.0
YKL067W,YNK1,5.0
YKL065C,YET1,5.0
YKL035W,UGP1,19.0
YKR058W,GLG1,1.0
YKR066C,CCP1,1.0
YKR067W,GPT2,19.0
YLL039C,UBI4,16.0
YLL026W,HSP104,19.0
YLL019C,KNS1,6.0
YLR149C,-,6.0
YLR152C,-,8.0
YLR178C,TFS1,3.0
YLR250W,SSP120,2.0
YLR258W,GSY2,6.0
YLR267W,BOP2,2.0
YLR270W,DCS1,7.0
YLR327C,TMA10,2.0
YLR345W,-,3.0
YLR356W,ATG33,5.0
YLR370C,ARC18,3.0
YML131W,-,1.0
YML128C,MSC1,3.0
YML100W,TSL1,32.0
YMR053C,STB2,7.0
YMR081C,ISF1,11.0
YMR105C,PGM2,4.0
YMR110C,HFD1,5.0
YMR139W,RIM11,5.0
YMR155W,-,3.0
YMR173W,DDR48,32.0
YMR173W-A,-,5.0
YMR174C,PAI3,1.0
YMR181C,-,2.0
YMR196W,-,17.0
YMR197C,VTI1,6.0
YMR250W,GAD1,2.0
YMR253C,-,6.0
YMR291W,TDA1,23.0
YMR297W,PRC1,1.0
YMR304W,UBP15,5.0
YMR315W,-,6.0
YNL274C,GOR1,3.0
YNL241C,ZWF1,4.0
YNL208W,-,2.0
YNL183C,NPR1,46.0
YNL134C,-,2.0
YNL115C,-,11.0
YNL055C,POR1,7.0
YNL015W,PBI2,3.0
YNR001C,CIT1,4.0
YNR002C,ATO2,5.0
YOL151W,GRE2,2.0
YOL084W,PHM7,3.0
YOL083W,ATG34,4.0
YOL082W,ATG19,5.0
YOR052C,TMC1,6.0
YOR161C,PNS1,2.0
YOR173W,DCS2,11.0
YOR220W,RCN2,28.0
YOR285W,RDL1,2.0
YOR317W,FAA1,10.0
YOR374W,ALD4,3.0
YPL230W,USV1,3.0
YPL203W,TPK2,1.0
YPL196W,OXR1,3.0
YPL186C,UIP4,5.0
YPL166W,ATG29,3.0
YPL154C,PEP4,3.0
YPL054W,LEE1,3.0
YPL004C,LSP1,11.0
YPR098C,-,2.0
YPR149W,NCE102,1.0
YPR184W,GDB1,3.0
YBL075C,SSA3,1.0
YBL064C,PRX1,3.0
YBR026C,ETR1,6.0
YBR052C,RFS1,3.0
YBR056W,-,1.0
YBR072W,HSP26,6.0
YBR126C,TPS1,2.0
YBR139W,-,2.0
YBR149W,ARA1,4.0
YBR169C,SSE2,7.0
YBR204C,LDH1,3.0
YBR269C,SDH8,2.0
YBR285W,-,1.0
YBR287W,-,10.0
YCL040W,GLK1,5.0
YCR004C,YCP4,4.0
YCR061W,-,12.0
YCR091W,KIN82,9.0
YDL222C,FMP45,3.0
YDL204W,RTN2,2.0
YDL199C,-,8.0
YDL124W,-,5.0
YDL110C,TMA17,3.0
YDL022W,GPD1,4.0
YDL021W,GPM2,1.0
YDR001C,NTH1,11.0
YDR003W,RCR2,8.0
YDR032C,PST2,4.0
YDR059C,UBC5,1.0
YDR074W,TPS2,5.0
YDR085C,AFR1,4.0
YDR096W,GIS1,13.0
YDR169C,STB3,14.0
YDR171W,HSP42,9.0
YDR258C,HSP78,2.0
YDR272W,GLO2,3.0
YDR358W,GGA1,17.0
YDR368W,YPR1,2.0
YDR380W,ARO10,1.0
YDR475C,JIP4,13.0
YDR513W,GRX2,8.0
YDR516C,EMI2,4.0
YEL060C,PRB1,2.0
YEL011W,GLC3,5.0
YEL005C,VAB2,1.0
YER035W,EDC2,1.0
YER038C,KRE29,4.0
YER079W,-,23.0
YER103W,SSA4,4.0
YER119C,AVT6,3.0
YER142C,MAG1,1.0
YER158C,-,9.0
YFL044C,OTU1,2.0
YFL014W,HSP12,18.0
YFR053C,HXK1,17.0
YGL248W,PDE1,3.0
YGL208W,SIP2,9.0
YGL180W,ATG1,23.0
YGL156W,AMS1,1.0
YGL104C,VPS73,4.0
YGL096W,TOS8,2.0
YGL087C,MMS2,1.0
YGL037C,PNC1,2.0
YGL006W,PMC1,6.0
YGR008C,STF2,4.0
YGR019W,UGA1,1.0
YGR023W,MTL1,6.0
YGR043C,NQM1,1.0
YGR088W,CTT1,3.0
YGR127W,-,1.0
YGR149W,GPC1,5.0
YGR161C,RTS3,20.0
YGR194C,XKS1,1.0
YGR209C,TRX2,5.0
YGR237C,-,14.0
YGR248W,SOL4,1.0
YGR250C,RIE1,21.0
YGR256W,GND2,3.0
YHR087W,RTC3,1.0
YHR096C,HXT5,4.0
YHR097C,-,34.0
YHR104W,GRE3,1.0
YHR137W,ARO9,4.0
YHR138C,-,2.0
YIL136W,OM45,2.0
YIL124W,AYR1,3.0
YIL107C,PFK26,16.0
YIL101C,XBP1,3.0
YIL045W,PIG2,7.0
YIR037W,HYR1,4.0
YIR038C,GTT1,2.0
